Loci	LG	cM
57138	I	0.00
44203	I	0.00
32266	I	0.00
15638	I	0.00
63334	I	1.05
51918	I	1.05
13303	I	3.16
18807	I	3.16
27853	I	3.16
40701	I	4.76
50479	I	6.35
16926	I	6.35
63836	I	6.35
58859	I	6.35
55893	I	6.35
55197	I	7.66
18931	I	11.65
17305	I	11.65
49708	I	11.65
3423	I	14.83
57631	I	15.89
38430	I	15.89
43540	I	15.89
31019	I	15.89
26896	I	22.24
34242	I	22.24
18366	I	22.24
16161	I	23.64
16183	I	26.47
4886	I	26.47
30750	I	26.47
16788	I	26.47
53292	I	26.47
59198	I	29.63
18098	I	31.21
57529	I	31.21
55570	I	31.21
15227	I	31.21
14875	I	31.21
57872	I	31.21
55639	I	31.21
48849	I	31.21
51384	I	32.79
12189	I	32.79
59636	I	32.79
57703	I	32.79
14396	I	32.79
60984	I	34.90
62527	I	37.55
18181	I	37.55
56101	I	40.20
6211	I	40.20
55008	I	40.20
51708	I	45.49
7618	I	45.49
40764	I	45.49
21743	I	46.55
29584	I	46.55
32070	I	47.60
37693	I	47.60
29699	I	47.60
25650	I	47.60
5074	I	48.66
13753	I	48.66
62583	I	49.71
20905	I	49.71
43391	I	49.71
48982	I	49.71
42344	I	49.71
51610	I	51.82
28392	I	53.41
42368	I	54.99
3860	I	54.99
49986	I	54.99
60394	I	56.07
21344	I	57.14
60896	I	57.14
61883	I	57.14
4161	I	57.14
21848	I	57.14
54806	II	0.00
35251	II	0.88
2546	II	0.88
15224	II	0.88
52336	II	0.88
38286	II	0.88
20363	II	1.93
63048	II	1.93
64544	II	1.93
51464	II	2.99
52728	II	2.99
60927	II	4.04
4598	II	4.04
1457	II	4.04
32654	II	4.04
29131	II	4.04
43049	II	8.28
38536	II	10.39
16737	II	10.39
50157	II	10.39
50789	II	10.39
6104	II	10.39
42620	II	11.44
33042	II	13.55
17490	II	13.55
37684	II	13.55
3229	II	17.77
34021	II	17.77
65382	II	17.77
3687	II	22.00
4665	II	22.00
43247	II	24.11
8543	II	26.23
30658	II	26.23
60251	II	26.23
18016	II	26.23
40600	II	26.23
14515	II	26.23
62229	II	26.23
1789	II	26.23
10193	II	29.34
33621	II	31.49
60043	II	34.95
17357	II	45.05
59476	II	47.59
28460	II	47.59
57629	II	47.59
58180	II	51.81
33653	II	51.81
17141	II	51.81
54127	II	52.77
3046	II	52.77
13439	II	53.73
21101	II	53.73
18598	II	57.29
1799	II	57.29
8937	II	57.29
39056	II	59.09
22109	II	60.89
4708	II	63.26
12295	II	63.26
58995	II	63.26
59676	II	63.26
60279	II	63.26
31328	II	63.26
58879	II	63.26
5054	II	63.26
59039	II	63.26
21795	II	63.26
34441	II	63.26
37699	II	64.39
31881	II	64.39
60968	III	0.00
15730	III	0.87
39119	III	0.87
14788	III	0.87
1913	III	1.92
40249	III	1.92
33161	III	1.92
58388	III	2.98
57453	III	4.04
42464	III	4.04
44836	III	6.15
50254	III	7.20
19455	III	7.20
5243	III	9.31
19631	III	12.48
12832	III	12.48
33696	III	12.48
2873	III	13.54
2721	III	13.54
30630	III	13.54
62355	III	13.54
53603	III	13.54
49711	III	13.54
2155	III	14.55
50272	III	14.55
2259	III	14.55
18443	III	17.74
61750	III	19.87
32286	III	19.87
4939	III	19.87
20620	III	23.00
55208	III	23.00
34024	III	23.00
58272	III	23.00
48819	III	25.11
27155	III	25.11
51794	III	25.11
29470	III	25.11
18669	III	25.11
46304	III	25.11
32349	III	25.11
19859	III	25.11
58778	III	25.11
5698	III	25.11
51450	III	25.11
43677	III	27.22
64465	III	27.22
3021	III	27.22
17854	III	27.22
63977	III	29.34
5049	III	30.39
30931	III	30.39
64755	III	31.44
8152	III	31.44
52998	III	32.50
52093	III	33.55
49362	III	33.55
64439	III	35.66
61503	III	35.66
21326	III	35.66
21577	III	35.66
22027	III	36.71
34199	III	36.71
59371	III	37.77
16665	III	37.77
20856	III	37.77
61608	III	37.77
44735	III	40.59
38217	III	41.99
60505	III	43.05
41858	III	43.05
7065	III	43.05
31686	III	46.61
19600	III	48.39
52870	III	49.44
61068	III	49.44
41052	III	50.49
64160	III	50.49
33266	III	52.60
13413	III	52.60
36410	IV	0.00
9744	IV	0.00
14031	IV	2.12
19063	IV	3.18
51229	IV	3.18
57810	IV	3.18
59520	IV	4.22
39859	IV	4.22
65004	IV	4.22
50073	IV	4.22
3035	IV	4.22
17644	IV	6.33
59282	IV	6.33
38803	IV	6.33
2573	IV	6.33
13636	IV	6.33
22524	IV	6.33
19950	IV	9.89
12305	IV	11.68
50742	IV	12.74
35531	IV	12.74
60548	IV	12.74
35789	IV	12.74
26588	IV	15.90
40257	IV	15.90
19762	IV	15.90
60219	IV	17.49
9191	IV	17.49
39515	IV	19.08
58065	IV	20.13
48506	IV	20.13
40908	IV	21.18
52713	IV	22.26
31782	IV	25.46
7966	IV	25.46
3412	IV	25.46
60067	IV	25.46
28536	IV	25.46
57071	IV	26.52
57005	IV	26.52
31124	IV	27.57
60683	IV	28.62
58738	IV	30.73
59087	IV	30.73
35047	IV	30.73
65112	IV	30.73
15623	IV	30.73
31576	IV	30.73
59897	IV	30.73
28545	IV	32.08
40773	IV	32.08
29285	IV	34.81
11189	IV	34.81
2998	IV	40.27
53568	IV	40.27
22163	IV	40.27
5026	IV	40.27
31207	IV	40.27
40453	IV	43.94
32637	IV	47.66
17936	IV	47.66
40371	IV	48.73
22024	IV	48.73
65615	IV	49.45
12444	IV	51.63
16245	IV	51.63
2913	IV	51.63
59554	IV	51.63
21800	IV	51.63
41195	V	0.00
2144	V	0.00
40790	V	0.00
33289	V	0.00
35584	V	0.00
48484	V	0.00
20054	V	0.00
48820	V	0.00
60528	V	0.00
50984	V	0.00
16764	V	0.00
53858	V	1.05
13488	V	1.05
15453	V	3.17
23180	V	3.17
3586	V	3.17
20066	V	5.27
64854	V	7.39
11833	V	7.39
59678	V	7.39
62448	V	7.39
60530	V	8.44
60832	V	10.57
31688	V	11.62
31380	V	11.62
26909	V	11.62
53049	V	11.62
27458	V	13.73
53081	V	13.73
15389	V	14.79
56239	V	14.79
39466	V	14.79
62663	V	14.79
65602	V	16.89
44723	V	16.89
14495	V	16.89
32400	V	16.89
16237	V	17.95
59171	V	17.95
19979	V	17.95
19109	V	17.95
15798	V	17.95
31621	V	19.31
53746	V	19.31
29298	V	19.31
33240	V	19.31
33353	V	19.31
14358	V	22.14
55298	V	22.14
17389	V	22.14
62133	V	22.14
3554	V	31.59
52329	V	33.88
7265	V	34.94
47696	V	34.94
31915	V	35.99
4691	V	38.10
44093	V	38.10
3568	V	39.16
18683	V	39.16
53958	V	39.16
4950	V	40.75
63326	V	40.75
3306	V	42.34
42140	V	42.34
14803	V	42.34
53880	V	43.40
1832	V	44.45
64511	V	44.45
55371	V	44.45
59392	V	45.51
42193	V	46.56
64685	V	46.56
43723	V	46.56
50891	V	46.56
53560	V	47.62
57704	V	47.62
57066	V	48.67
45886	V	48.67
16596	VI	0.00
59824	VI	0.00
61943	VI	0.00
2196	VI	0.00
55270	VI	0.00
53519	VI	1.05
3191	VI	4.22
61993	VI	4.22
18465	VI	4.22
39357	VI	6.33
17443	VI	6.33
62257	VI	6.33
3297	VI	7.38
59988	VI	8.44
49512	VI	9.49
28244	VI	9.49
2064	VI	9.49
36807	VI	9.49
