Loci	LG	bp
9	LG15	15367861
659	LG08	23446256
686	LG19	22168582
691	LG09	73417
746	LG21	16052270
1007	LG08	4663625
1008	LG10	11174905
1015	LG07	16388273
1038	LG07	2923150
1116	LG08	368900
1121	LG13	23217281
1184	LG21	16202316
1216	LG15	662193
1238	LG13	15475248
1260	Contig11323	170898
1266	LG13	2397998
1339	LG24	14004008
1341	LG20	2064815
1362	LG24	14003930
1367	LG22	8450515
1370	LG16	19852934
1414	LG14	8826045
1417	LG09	18494760
1431	LG24	12077158
1457	LG02	4575211
1496	LG18	4468753
1499	LG19	19563366
1558	LG08	12536843
1622	LG07	21568769
1633	LG15	13655301
1658	LG20	6415866
1706	LG10	8975889
1715	LG13	129932
1737	LG20	23762609
1748	LG23	14687676
1753	LG23	13244493
1789	LG02	18827719
1799	LG02	27304020
1814	LG17	7691000
1826	LG09	8190400
1832	LG05	18968834
1890	LG14	6898888
1905	LG19	1837604
1912	LG20	3271156
1913	LG03	848469
1960	LG21	19893757
1975	LG07	15975579
2006	LG10	12758563
2062	LG18	166828
2064	LG06	7597876
2105	LG09	11876928
2142	LG23	8236593
2144	LG05	1126493
2155	LG03	9136175
2171	LG08	25684358
2188	LG22	8698878
2196	LG06	3018394
2212	LG20	14917384
2214	LG11	3436517
2259	LG03	8159549
2263	LG07	14383622
2274	LG23	10694170
2280	LG16	24372707
2319	LG17	11175455
2376	LG14	6982802
2378	LG09	23077868
2396	LG08	6077936
2405	LG09	152194
2410	LG18	10303179
2453	LG18	2039352
2469	LG09	11281318
2506	LG12	270920
2509	LG12	11328839
2525	LG12	20066401
2541	LG11	1467807
2546	LG02	186410
2573	LG04	5891824
2574	LG11	14552704
2584	LG24	14346663
2587	LG07	20064518
2599	LG09	13184424
2609	LG07	17720688
2625	LG07	2594023
2647	LG17	26553058
2651	LG12	8948289
2714	LG09	717191
2721	LG03	8239929
2809	LG24	9322261
2828	LG23	12219277
2873	LG03	8806863
2879	LG12	5311785
2893	LG23	2018567
2921	LG12	11018982
2947	LG22	8530214
2951	LG07	3759159
2968	LG09	25818305
2983	LG09	717113
2998	LG04	22764401
3001	LG20	22496523
3009	LG16	12747715
3016	LG09	5798508
3021	LG03	15462413
3035	LG04	2629586
3046	LG02	28301752
3056	LG17	11865318
3058	LG16	23979287
3116	LG22	3740978
3138	LG10	10159149
3147	LG08	26869678
3159	LG13	25318357
3191	LG06	665525
3205	LG20	14268527
3223	LG19	22132980
3229	LG02	13329239
3257	LG07	596167
3297	LG06	5744953
3305	LG19	4646894
3306	LG05	18440047
3322	LG06	20455571
3360	LG22	5004259
3407	LG15	13251026
3409	LG20	24075937
3412	LG04	15700132
3420	LG17	27826001
3423	LG01	2202391
3460	LG10	17339064
3479	LG16	19029853
3492	LG18	6956990
3539	LG06	12960218
3552	LG15	13772482
3554	LG05	15445982
3568	LG05	18202773
3586	LG05	2678325
3614	LG11	188033
3643	LG05	6203024
3648	LG24	7799647
3675	LG09	12546284
3685	LG14	4889942
3687	LG02	17630795
3721	LG14	13901806
3739	LG06	16134237
3785	LG16	23886701
3815	LG09	3535446
3826	LG21	2234469
3833	LG09	7597595
3838	LG07	16388195
3853	LG18	7590932
3860	LG01	21094964
3896	LG18	19736278
3896	Contig315905	8232
3896	Contig301613	10574
3968	LG07	21015892
4002	LG13	24272020
4038	LG10	4877911
4109	LG20	24716247
4110	LG23	9116810
4115	LG19	22156431
4145	LG15	13783573
4161	LG01	24961914
4161	LG06	132260
4161	LG13	2237013
4161	LG11	18465012
4161	LG08	1382848
4161	LG20	2448228
4161	LG19	23526536
4161	Contig10855	255465
4161	Contig11061	114691
4161	LG08	22122574
4161	LG16	19854020
4161	LG08	1535149
4161	LG22	1665750
4161	LG07	21270870
4161	LG20	2601247
4161	LG03	12535331
4161	LG02	1070666
4161	LG17	668226
4161	Contig10977	298968
4161	LG23	17535456
4161	LG23	17113859
4161	LG12	661751
4161	Contig54	135878
4161	Contig66	117544
4161	LG24	13164111
4161	Contig10855	299456
4161	Contig12064	62011
4161	LG09	8680832
4161	LG02	29415926
4161	LG11	15885197
4161	LG02	9146708
4161	Contig10855	290520
4161	LG03	22599769
4161	LG05	1050608
4161	LG12	2941165
4161	LG23	17278435
4161	LG04	5682600
4161	Contig92	24195
4161	LG15	145285
4161	LG19	1472374
4161	LG12	25265512
4161	Contig10855	231187
4161	LG18	8074481
4182	LG11	5208663
4199	LG08	23677287
4222	LG23	6095175
4235	LG11	4144460
4283	LG09	185572
4302	LG14	12628083
4311	LG10	21711254
4361	LG24	989405
4391	LG18	643870
4450	LG09	6741574
4456	LG12	22487588
4469	LG22	157997
4588	LG08	20580633
4598	LG02	6035464
4602	LG17	4435415
